text,label
This is the content of article 502. It contains detailed analysis and reports.,1
This is the content of article 1587. It contains detailed analysis and reports.,1
This is the content of article 1654. It contains detailed analysis and reports.,1
This is the content of article 56. It contains detailed analysis and reports.,1
An isolated village claims its elders live up to 150 due to a secret herbal tea.,1
An isolated village claims its elders live up to 150 due to a secret herbal tea.,1
Recent economic data shows that the GDP is steadily growing over the last two quarters.,0
This is the content of article 1469. It contains detailed analysis and reports.,1
This is the content of article 1414. It contains detailed analysis and reports.,1
This is the content of article 601. It contains detailed analysis and reports.,1
This is the content of article 1465. It contains detailed analysis and reports.,0
Recent economic data shows that the GDP is steadily growing over the last two quarters.,0
The celebrity stated that secret documents reveal shocking information about the president.,1
Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,1
This is the content of article 2022. It contains detailed analysis and reports.,0
This is the content of article 2544. It contains detailed analysis and reports.,0
This is the content of article 74. It contains detailed analysis and reports.,1
This is the content of article 2352. It contains detailed analysis and reports.,1
This is the content of article 745. It contains detailed analysis and reports.,1
This is the content of article 85. It contains detailed analysis and reports.,0
Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,1
This is the content of article 2050. It contains detailed analysis and reports.,0
This is the content of article 118. It contains detailed analysis and reports.,1
The new study conducted by international researchers shows walking improves heart health.,0
This is the content of article 3768. It contains detailed analysis and reports.,1
An isolated village claims its elders live up to 150 due to a secret herbal tea.,1
This is the content of article 3067. It contains detailed analysis and reports.,1
The celebrity stated that secret documents reveal shocking information about the president.,1
This is the content of article 3685. It contains detailed analysis and reports.,1
Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,1
This is the content of article 963. It contains detailed analysis and reports.,0
An isolated village claims its elders live up to 150 due to a secret herbal tea.,1
This is the content of article 3843. It contains detailed analysis and reports.,0
This is the content of article 3867. It contains detailed analysis and reports.,0
This is the content of article 756. It contains detailed analysis and reports.,1
This is the content of article 1516. It contains detailed analysis and reports.,1
This is the content of article 2586. It contains detailed analysis and reports.,1
This is the content of article 3316. It contains detailed analysis and reports.,0
This is the content of article 3967. It contains detailed analysis and reports.,1
This is the content of article 1100. It contains detailed analysis and reports.,1
This is the content of article 2600. It contains detailed analysis and reports.,1
This is the content of article 3122. It contains detailed analysis and reports.,0
The education ministry has proposed reforms to modernize the curriculum.,0
Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,1
Recent economic data shows that the GDP is steadily growing over the last two quarters.,0
This is the content of article 2907. It contains detailed analysis and reports.,0
This is the content of article 2774. It contains detailed analysis and reports.,1
This is the content of article 3636. It contains detailed analysis and reports.,1
This is the content of article 2162. It contains detailed analysis and reports.,1
This is the content of article 1660. It contains detailed analysis and reports.,1
This is the content of article 3616. It contains detailed analysis and reports.,0
This is the content of article 3629. It contains detailed analysis and reports.,1
This is the content of article 1452. It contains detailed analysis and reports.,0
This is the content of article 1847. It contains detailed analysis and reports.,1
This is the content of article 145. It contains detailed analysis and reports.,0
This is the content of article 2079. It contains detailed analysis and reports.,1
This is the content of article 104. It contains detailed analysis and reports.,0
The education ministry has proposed reforms to modernize the curriculum.,0
This is the content of article 671. It contains detailed analysis and reports.,0
This is the content of article 1571. It contains detailed analysis and reports.,1
This is the content of article 1378. It contains detailed analysis and reports.,0
This is the content of article 3396. It contains detailed analysis and reports.,0
This is the content of article 3258. It contains detailed analysis and reports.,0
This is the content of article 2863. It contains detailed analysis and reports.,0
Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,1
This is the content of article 1634. It contains detailed analysis and reports.,0
This is the content of article 2341. It contains detailed analysis and reports.,1
This is the content of article 1216. It contains detailed analysis and reports.,1
This is the content of article 2683. It contains detailed analysis and reports.,0
This is the content of article 3725. It contains detailed analysis and reports.,1
This is the content of article 908. It contains detailed analysis and reports.,1
The new study conducted by international researchers shows walking improves heart health.,0
Recent economic data shows that the GDP is steadily growing over the last two quarters.,0
An isolated village claims its elders live up to 150 due to a secret herbal tea.,1
This is the content of article 2. It contains detailed analysis and reports.,1
This is the content of article 1139. It contains detailed analysis and reports.,0
Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,1
This is the content of article 1802. It contains detailed analysis and reports.,1
This is the content of article 1528. It contains detailed analysis and reports.,0
This is the content of article 2753. It contains detailed analysis and reports.,1
This is the content of article 2322. It contains detailed analysis and reports.,1
This is the content of article 2182. It contains detailed analysis and reports.,1
This is the content of article 3184. It contains detailed analysis and reports.,0
This is the content of article 616. It contains detailed analysis and reports.,0
This is the content of article 2025. It contains detailed analysis and reports.,1
This is the content of article 414. It contains detailed analysis and reports.,1
Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,1
The education ministry has proposed reforms to modernize the curriculum.,0
This is the content of article 3798. It contains detailed analysis and reports.,1
This is the content of article 2850. It contains detailed analysis and reports.,0
This is the content of article 3154. It contains detailed analysis and reports.,0
An isolated village claims its elders live up to 150 due to a secret herbal tea.,1
Recent economic data shows that the GDP is steadily growing over the last two quarters.,0
This is the content of article 296. It contains detailed analysis and reports.,1
Recent economic data shows that the GDP is steadily growing over the last two quarters.,0
This is the content of article 3741. It contains detailed analysis and reports.,0
This is the content of article 1941. It contains detailed analysis and reports.,1
This is the content of article 2457. It contains detailed analysis and reports.,0
The education ministry has proposed reforms to modernize the curriculum.,0
Sources claim that extraterrestrial beings were seen stepping out of a spaceship.,1
This is the content of article 554. It contains detailed analysis and reports.,1
This is the content of article 670. It contains detailed analysis and reports.,0
This is the content of article 1132. It contains detailed analysis and reports.,1
This is the content of article 3440. It contains detailed analysis and reports.,0
Recent economic data shows that the GDP is steadily growing over the last two quarters.,0
An isolated village claims its elders live up to 150 due to a secret herbal tea.,1
Recent economic data shows that the GDP is steadily growing over the last two quarters.,0
This is the content of article 336. It contains detailed analysis and reports.,1
This is the content of article 3525. It contains detailed analysis and reports.,0
This is the content of article 339. It contains detailed analysis and reports.,1
